,teamNumber,nameShort,location,latitude,longitude
0,1,The Juggernauts,"Pontiac, Michigan",42.6389216,-83.2910468
1,4,Team 4 ELEMENT,"Van Nuys, California",34.1866193,-118.4486675
2,8,Team 8,"nan, Palo Alto, California",-22.2191852,-49.9758677
3,11,MORT,"Flanders, New Jersey",40.8456549,-74.6948843
4,16,Bomb Squad,"Mountain Home, Arkansas",36.3361391,-92.3801187
5,20,The Rocketeers,"Clifton Park, New York",42.8631868,-73.7812103
6,21,ComBBAT,"Titusville, Florida",28.6122187,-80.8075538
7,25,Raider Robotix,"North Brunswick, New Jersey",40.4539249,-74.476545
8,27,Team RUSH,"Clarkston, Michigan",42.735863,-83.4188304
9,28,Pierson Whalers,"Sag Harbor, New York",40.9978727,-72.2922292
10,31,Prime Movers,"Jenks, Oklahoma",36.0228734,-95.9683278
11,33,Killer Bees,"Auburn Hills, Michigan",42.6875323,-83.2341028
12,34,Rockets,"Athens, Alabama",34.8045487,-86.9711698
13,41,RoboWarriors,"Warren, New Jersey",40.8602222,-74.9720493
14,45,TechnoKats Robotics Team,"Kokomo, Indiana",40.4864444,-86.1336351
15,48,Delphi E.L.I.T.E.,"Warren, Ohio",39.4203978,-84.180897
0,51,The Wings of Fire,"Pontiac, Michigan",42.6389216,-83.2910468
17,53,Area 53,"Greenbelt, Maryland",38.9933654,-76.88333238304114
18,56,R.O.B.B.E.,"Bound Brook, New Jersey",40.5684363,-74.5384889
19,57,Leopards,"nan, Houston, Texas",29.825009,-95.478675
20,58,The Riot Crew,"South Portland, Maine",43.6414716,-70.2408811
21,59,Ramtech,"nan, Miami, Florida",25.85008245,-80.19365656482097
22,60,Bionic Bulldogs,"Kingman, Arizona",35.189443,-114.0530065
23,61,The Intimidators,"Upton, Massachusetts",42.1769906,-71.6014216
24,63,McDowell Robotics Team 63 The Red Barons,"Erie, Pennsylvania",42.1294712,-80.0852695
25,66,The Flyers,"Ypsilanti, Michigan",42.2410562,-83.613055
26,67,The HOT Team,"Highland, Michigan",44.1455678,-85.2664329
27,68,Truck Town Thunder,"Ortonville, Michigan",42.8522506,-83.4430002
28,69,HYPER,"Quincy, Massachusetts",42.2509914,-71.0037374
29,70,More Martians,"Goodrich, Michigan",42.91708,-83.501656
30,71,Team Hammond,"Hammond, Indiana",41.5833658,-87.500043
31,73,The Illumination,"nan, Rochester, New York",43.1100257,-77.54586782478958
32,74,Team C.H.A.O.S.,"Holland, Michigan",42.7876022,-86.1090828
33,75,RoboRaiders,"Hillsborough, New Jersey",40.5052296,-74.6732941
34,78,AIR Strike,"Newport, Rhode Island",41.5524614,-71.27037832834264
35,79,Team Krunch,"Tarpon Springs , Florida",28.148082950000003,-82.74380159717906
36,81,MetalHeads,"Freeport, Illinois",42.2966861,-89.6212271
37,85,B.O.B. (Built on Brains),"Zeeland, Michigan",42.8124349,-86.0288167
38,86,Team Resistance,"Jacksonville, Florida",30.3321838,-81.655651
39,87,Red Devils,"Mount Holly, New Jersey",39.9928898,-74.7876624
40,88,TJ(Squared),"Bridgewater, Massachusetts",41.9903787,-70.9750426
41,93,FIRST Robotics Team 93: NEW Apple Corps,"Appleton, Wisconsin",44.2613967,-88.4069744
42,94,The  Technojays,"Southfield, Michigan",42.4733689,-83.2218731
43,95,Grasshoppers,"Lebanon, New Hampshire",43.643032,-72.251587
44,97,Bionic Beef,"Cambridge, Massachusetts",42.3750997,-71.1056157
45,100,The WildHats,"Woodside, California",37.4299388,-122.253855
46,101,Striker,"Chicago, Illinois",41.8755616,-87.6244212
47,102,The Gearheads,"Somerville, New Jersey",40.5742696,-74.60988
48,103,Cybersonics,"Kintnersville, Pennsylvania",40.5570457,-75.179619
32,107,Team R.O.B.O.T.I.C.S.,"Holland, Michigan",42.7876022,-86.1090828
50,108,SigmaC@T Robotic Team,"Ft. Lauderdale, Florida",26.1223084,-80.1433786
51,111,WildStang,"Schaumburg, Illinois",42.0333608,-88.083406
52,114,Eagle Strike,"Los Altos, California",37.3790629,-122.116578
53,115,MVRT,"Cupertino, California",37.3228934,-122.0322895
54,116,Epsilon Delta,"Herndon, Virginia",38.9695316,-77.3859479
55,117,The Steel Dragons,"Pittsburgh, Pennsylvania",40.4416941,-79.9900861
56,118,Robonauts,"League City, Texas",29.5074538,-95.0949303
57,120,Cleveland's Team,"Cleveland, Ohio",41.4996574,-81.6936772
58,121,Rhode Warriors,"Newport County, Rhode Island",41.5107263,-71.2971352
59,122,NASA Knights,"nan, Hampton, Virginia",15.1031886,120.60113382941339
60,123,Team - Cosmos,"Hamtramck, Michigan",42.3928151,-83.0496438
61,125,NUTRONS,"nan, Boston, Massachusetts",42.3514972,-71.06056
62,126,Gael Force,"Clinton, Massachusetts",42.4141495,-71.6799426
63,128,The Botcats,"Grandview Heights, Ohio",39.9797863,-83.0407403
64,131,C.H.A.O.S.,"Manchester, New Hampshire",42.9956397,-71.4547891
65,133,B.E.R.T,"Standish, Maine",43.735879,-70.551453
66,135,Penn Robotics,"Mishawaka, Indiana",41.6611642,-86.1807031
67,136,Killer Kardinals,"Plainfield, New Jersey",40.6337136,-74.4073737
68,138,Entropy,"Amherst, New Hampshire",42.8642874,-71.6252484
32,141,WOBOT,"Holland, Michigan",42.7876022,-86.1090828
70,144,The R.O.C.K,"Cincinnati, Ohio",39.1014537,-84.5124602
71,145,T-Rx,"Norwich, New York",42.531184,-75.5235149
72,148,Robowranglers,"nan, Greenville, Texas",34.9678943,-82.3990084
73,151,Tough Techs,"Nashua, New Hampshire",42.7656251,-71.4677032
74,155,The Technonuts,"Berlin, Connecticut",41.621488,-72.7456519
75,156,RPM  - Robotics Plus Mayhem ,"Fairview, Pennsylvania",41.0145075,-79.7428275
76,157,AZTECHS,"Marlborough, Massachusetts",42.3459271,-71.5522874
77,159,Alpine Robotics,"Fort Collins, Colorado",40.5508527,-105.0668085
78,166,Chop Shop,"Merrimack, New Hampshire",43.3260376,-71.6854725
79,167,Children of the Corn,"Iowa City, Iowa",41.6612561,-91.5299106
80,171,Cheese Curd Herd,"Platteville, Wisconsin",42.7342942,-90.4784451
81,172,Northern Force,"Gorham/Falmouth, Maine",43.754966,-70.30488
82,173,RAGE (Robotics & Gadget Eng),"Tolland, Connecticut",41.818446,-72.3562252
83,174,Arctic Warriors,"nan, Liverpool, New York",-33.9567061,150.8869719
